game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,result,total,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds
2004_01_IND_NE,2004,REG,1,2004-09-09,IND,24.0,NE,27.0,3.0,51.0,,,3.0,,,44.5,,
2004_01_TEN_MIA,2004,REG,1,2004-09-11,TEN,17.0,MIA,7.0,-10.0,24.0,,,-3.0,,,38.0,,
2004_01_JAX_BUF,2004,REG,1,2004-09-12,JAX,13.0,BUF,10.0,-3.0,23.0,,,3.0,,,35.0,,
2004_01_DET_CHI,2004,REG,1,2004-09-12,DET,20.0,CHI,16.0,-4.0,36.0,,,1.5,,,38.5,,
2004_01_BAL_CLE,2004,REG,1,2004-09-12,BAL,3.0,CLE,20.0,17.0,23.0,,,-3.5,,,37.0,,
2004_01_SD_HOU,2004,REG,1,2004-09-12,SD,27.0,HOU,20.0,-7.0,47.0,,,4.5,,,44.0,,
2004_01_SEA_NO,2004,REG,1,2004-09-12,SEA,21.0,NO,7.0,-14.0,28.0,,,-2.5,,,45.0,,
2004_01_CIN_NYJ,2004,REG,1,2004-09-12,CIN,24.0,NYJ,31.0,7.0,55.0,,,5.5,,,42.0,,
2004_01_OAK_PIT,2004,REG,1,2004-09-12,OAK,21.0,PIT,24.0,3.0,45.0,,,3.5,,,41.5,,
2004_01_ARI_STL,2004,REG,1,2004-09-12,ARI,10.0,STL,17.0,7.0,27.0,,,11.0,,,46.0,,
2004_01_TB_WAS,2004,REG,1,2004-09-12,TB,10.0,WAS,16.0,6.0,26.0,,,2.5,,,38.5,,
2004_01_DAL_MIN,2004,REG,1,2004-09-12,DAL,17.0,MIN,35.0,18.0,52.0,,,6.5,,,44.0,,
2004_01_NYG_PHI,2004,REG,1,2004-09-12,NYG,17.0,PHI,31.0,14.0,48.0,,,9.5,,,41.5,,
2004_01_ATL_SF,2004,REG,1,2004-09-12,ATL,21.0,SF,19.0,-2.0,40.0,,,-3.0,,,44.5,,
2004_01_KC_DEN,2004,REG,1,2004-09-12,KC,24.0,DEN,34.0,10.0,58.0,,,3.0,,,48.5,,
2004_01_GB_CAR,2004,REG,1,2004-09-13,GB,24.0,CAR,14.0,-10.0,38.0,,,3.0,,,43.5,,
2004_02_STL_ATL,2004,REG,2,2004-09-19,STL,17.0,ATL,34.0,17.0,51.0,,,2.0,,,46.0,,
2004_02_PIT_BAL,2004,REG,2,2004-09-19,PIT,13.0,BAL,30.0,17.0,43.0,,,4.0,,,35.5,,
2004_02_HOU_DET,2004,REG,2,2004-09-19,HOU,16.0,DET,28.0,12.0,44.0,,,3.0,,,43.5,,
2004_02_CHI_GB,2004,REG,2,2004-09-19,CHI,21.0,GB,10.0,-11.0,31.0,,,9.0,,,41.0,,
2004_02_DEN_JAX,2004,REG,2,2004-09-19,DEN,6.0,JAX,7.0,1.0,13.0,,,-3.0,,,38.0,,
2004_02_CAR_KC,2004,REG,2,2004-09-19,CAR,28.0,KC,17.0,-11.0,45.0,,,7.0,,,46.0,,
2004_02_SF_NO,2004,REG,2,2004-09-19,SF,27.0,NO,30.0,3.0,57.0,,,7.5,,,42.0,,
2004_02_WAS_NYG,2004,REG,2,2004-09-19,WAS,14.0,NYG,20.0,6.0,34.0,,,-3.0,,,40.0,,
2004_02_IND_TEN,2004,REG,2,2004-09-19,IND,31.0,TEN,17.0,-14.0,48.0,,,-1.5,,,47.0,,
2004_02_SEA_TB,2004,REG,2,2004-09-19,SEA,10.0,TB,6.0,-4.0,16.0,,,-3.0,,,37.0,,
2004_02_NE_ARI,2004,REG,2,2004-09-19,NE,23.0,ARI,12.0,-11.0,35.0,,,-8.0,,,41.5,,
2004_02_CLE_DAL,2004,REG,2,2004-09-19,CLE,12.0,DAL,19.0,7.0,31.0,,,4.5,,,38.0,,
2004_02_BUF_OAK,2004,REG,2,2004-09-19,BUF,10.0,OAK,13.0,3.0,23.0,,,3.5,,,37.5,,
2004_02_NYJ_SD,2004,REG,2,2004-09-19,NYJ,34.0,SD,28.0,-6.0,62.0,,,-3.0,,,47.0,,
2004_02_MIA_CIN,2004,REG,2,2004-09-19,MIA,13.0,CIN,16.0,3.0,29.0,,,5.5,,,40.0,,
2004_02_MIN_PHI,2004,REG,2,2004-09-20,MIN,16.0,PHI,27.0,11.0,43.0,,,3.0,,,51.0,,
2004_03_ARI_ATL,2004,REG,3,2004-09-26,ARI,3.0,ATL,6.0,3.0,9.0,,,11.0,,,44.0,,
2004_03_BAL_CIN,2004,REG,3,2004-09-26,BAL,23.0,CIN,9.0,-14.0,32.0,,,-1.5,,,35.0,,
2004_03_PHI_DET,2004,REG,3,2004-09-26,PHI,30.0,DET,13.0,-17.0,43.0,,,-4.5,,,44.0,,
2004_03_HOU_KC,2004,REG,3,2004-09-26,HOU,24.0,KC,21.0,-3.0,45.0,,,7.5,,,48.0,,
2004_03_CHI_MIN,2004,REG,3,2004-09-26,CHI,22.0,MIN,27.0,5.0,49.0,,,12.0,,,45.0,,
2004_03_CLE_NYG,2004,REG,3,2004-09-26,CLE,10.0,NYG,27.0,17.0,37.0,,,3.0,,,38.0,,
2004_03_NO_STL,2004,REG,3,2004-09-26,NO,28.0,STL,25.0,-3.0,53.0,,,6.0,,,49.0,,
2004_03_JAX_TEN,2004,REG,3,2004-09-26,JAX,15.0,TEN,12.0,-3.0,27.0,,,6.0,,,34.5,,
2004_03_SD_DEN,2004,REG,3,2004-09-26,SD,13.0,DEN,23.0,10.0,36.0,,,9.5,,,46.0,,
2004_03_GB_IND,2004,REG,3,2004-09-26,GB,31.0,IND,45.0,14.0,76.0,,,6.0,,,50.0,,
2004_03_SF_SEA,2004,REG,3,2004-09-26,SF,0.0,SEA,34.0,34.0,34.0,,,10.0,,,41.5,,
2004_03_PIT_MIA,2004,REG,3,2004-09-26,PIT,13.0,MIA,3.0,-10.0,16.0,,,2.5,,,31.0,,
2004_03_TB_OAK,2004,REG,3,2004-09-26,TB,20.0,OAK,30.0,10.0,50.0,,,3.0,,,35.5,,
2004_03_DAL_WAS,2004,REG,3,2004-09-27,DAL,21.0,WAS,18.0,-3.0,39.0,,,1.5,,,35.5,,
2004_04_NE_BUF,2004,REG,4,2004-10-03,NE,31.0,BUF,17.0,-14.0,48.0,,,-5.5,,,35.0,,
2004_04_PHI_CHI,2004,REG,4,2004-10-03,PHI,19.0,CHI,9.0,-10.0,28.0,,,-8.5,,,40.5,,
2004_04_WAS_CLE,2004,REG,4,2004-10-03,WAS,13.0,CLE,17.0,4.0,30.0,,,-2.5,,,36.0,,
2004_04_NYG_GB,2004,REG,4,2004-10-03,NYG,14.0,GB,7.0,-7.0,21.0,,,7.0,,,44.0,,
2004_04_OAK_HOU,2004,REG,4,2004-10-03,OAK,17.0,HOU,30.0,13.0,47.0,,,-2.0,,,42.0,,
2004_04_IND_JAX,2004,REG,4,2004-10-03,IND,24.0,JAX,17.0,-7.0,41.0,,,-4.0,,,42.0,,
2004_04_CIN_PIT,2004,REG,4,2004-10-03,CIN,17.0,PIT,28.0,11.0,45.0,,,4.0,,,39.5,,
2004_04_NO_ARI,2004,REG,4,2004-10-03,NO,10.0,ARI,34.0,24.0,44.0,,,-3.5,,,40.0,,
2004_04_ATL_CAR,2004,REG,4,2004-10-03,ATL,27.0,CAR,10.0,-17.0,37.0,,,3.5,,,39.0,,
2004_04_NYJ_MIA,2004,REG,4,2004-10-03,NYJ,17.0,MIA,9.0,-8.0,26.0,,,-5.5,,,36.0,,
2004_04_TEN_SD,2004,REG,4,2004-10-03,TEN,17.0,SD,38.0,21.0,55.0,,,-3.0,,,41.0,,
2004_04_DEN_TB,2004,REG,4,2004-10-03,DEN,16.0,TB,13.0,-3.0,29.0,,,-3.0,,,35.0,,
2004_04_STL_SF,2004,REG,4,2004-10-03,STL,24.0,SF,14.0,-10.0,38.0,,,-4.0,,,44.0,,
2004_04_KC_BAL,2004,REG,4,2004-10-04,KC,27.0,BAL,24.0,-3.0,51.0,,,6.0,,,41.5,,
2004_05_DET_ATL,2004,REG,5,2004-10-10,DET,17.0,ATL,10.0,-7.0,27.0,,,6.5,,,41.0,,
2004_05_NYG_DAL,2004,REG,5,2004-10-10,NYG,26.0,DAL,10.0,-16.0,36.0,,,3.5,,,38.5,,
2004_05_MIN_HOU,2004,REG,5,2004-10-10,MIN,34.0,HOU,28.0,-6.0,62.0,,,-3.5,,,50.0,,
2004_05_OAK_IND,2004,REG,5,2004-10-10,OAK,14.0,IND,35.0,21.0,49.0,,,8.5,,,52.0,,
2004_05_MIA_NE,2004,REG,5,2004-10-10,MIA,10.0,NE,24.0,14.0,34.0,,,11.0,,,34.0,,
2004_05_TB_NO,2004,REG,5,2004-10-10,TB,20.0,NO,17.0,-3.0,37.0,,,3.0,,,38.5,,
2004_05_CLE_PIT,2004,REG,5,2004-10-10,CLE,23.0,PIT,34.0,11.0,57.0,,,4.5,,,36.0,,
2004_05_BUF_NYJ,2004,REG,5,2004-10-10,BUF,14.0,NYJ,16.0,2.0,30.0,,,6.5,,,37.0,,
2004_05_JAX_SD,2004,REG,5,2004-10-10,JAX,21.0,SD,34.0,13.0,55.0,,,-2.5,,,37.0,,
2004_05_CAR_DEN,2004,REG,5,2004-10-10,CAR,17.0,DEN,20.0,3.0,37.0,,,4.0,,,38.0,,
2004_05_STL_SEA,2004,REG,5,2004-10-10,STL,33.0,SEA,27.0,-6.0,60.0,,,8.0,,,44.0,,
2004_05_ARI_SF,2004,REG,5,2004-10-10,ARI,28.0,SF,31.0,3.0,59.0,,,1.0,,,36.5,,
2004_05_BAL_WAS,2004,REG,5,2004-10-10,BAL,17.0,WAS,10.0,-7.0,27.0,,,0.0,,,34.0,,
2004_05_TEN_GB,2004,REG,5,2004-10-11,TEN,48.0,GB,27.0,-21.0,75.0,,,3.0,,,44.0,,
2004_06_SD_ATL,2004,REG,6,2004-10-17,SD,20.0,ATL,21.0,1.0,41.0,,,5.5,,,43.0,,
2004_06_MIA_BUF,2004,REG,6,2004-10-17,MIA,13.0,BUF,20.0,7.0,33.0,,,4.5,,,30.0,,
2004_06_WAS_CHI,2004,REG,6,2004-10-17,WAS,13.0,CHI,10.0,-3.0,23.0,,,1.5,,,33.5,,
2004_06_CIN_CLE,2004,REG,6,2004-10-17,CIN,17.0,CLE,34.0,17.0,51.0,,,3.0,,,40.0,,
2004_06_GB_DET,2004,REG,6,2004-10-17,GB,38.0,DET,10.0,-28.0,48.0,,,3.0,,,45.0,,
2004_06_KC_JAX,2004,REG,6,2004-10-17,KC,16.0,JAX,22.0,6.0,38.0,,,-2.5,,,44.0,,
2004_06_SEA_NE,2004,REG,6,2004-10-17,SEA,20.0,NE,30.0,10.0,50.0,,,3.5,,,42.0,,
2004_06_SF_NYJ,2004,REG,6,2004-10-17,SF,14.0,NYJ,22.0,8.0,36.0,,,9.5,,,43.0,,
2004_06_CAR_PHI,2004,REG,6,2004-10-17,CAR,8.0,PHI,30.0,22.0,38.0,,,10.0,,,42.0,,
2004_06_HOU_TEN,2004,REG,6,2004-10-17,HOU,20.0,TEN,10.0,-10.0,30.0,,,5.5,,,46.0,,
2004_06_PIT_DAL,2004,REG,6,2004-10-17,PIT,24.0,DAL,20.0,-4.0,44.0,,,3.0,,,39.0,,
2004_06_DEN_OAK,2004,REG,6,2004-10-17,DEN,31.0,OAK,3.0,-28.0,34.0,,,-2.5,,,42.0,,
2004_06_MIN_NO,2004,REG,6,2004-10-17,MIN,38.0,NO,31.0,-7.0,69.0,,,-3.5,,,53.0,,
2004_06_TB_STL,2004,REG,6,2004-10-18,TB,21.0,STL,28.0,7.0,49.0,,,6.5,,,42.5,,
2004_07_BUF_BAL,2004,REG,7,2004-10-24,BUF,6.0,BAL,20.0,14.0,26.0,,,4.5,,,31.0,,
2004_07_SD_CAR,2004,REG,7,2004-10-24,SD,17.0,CAR,6.0,-11.0,23.0,,,3.0,,,42.0,,
2004_07_PHI_CLE,2004,REG,7,2004-10-24,PHI,34.0,CLE,31.0,-3.0,65.0,,,-7.0,,,41.5,,
2004_07_JAX_IND,2004,REG,7,2004-10-24,JAX,27.0,IND,24.0,-3.0,51.0,,,9.0,,,47.0,,
2004_07_ATL_KC,2004,REG,7,2004-10-24,ATL,10.0,KC,56.0,46.0,66.0,,,3.5,,,44.5,,
2004_07_STL_MIA,2004,REG,7,2004-10-24,STL,14.0,MIA,31.0,17.0,45.0,,,-5.0,,,37.5,,
2004_07_TEN_MIN,2004,REG,7,2004-10-24,TEN,3.0,MIN,20.0,17.0,23.0,,,6.0,,,53.0,,
2004_07_DET_NYG,2004,REG,7,2004-10-24,DET,28.0,NYG,13.0,-15.0,41.0,,,7.0,,,40.0,,
2004_07_CHI_TB,2004,REG,7,2004-10-24,CHI,7.0,TB,19.0,12.0,26.0,,,7.0,,,32.0,,
2004_07_NYJ_NE,2004,REG,7,2004-10-24,NYJ,7.0,NE,13.0,6.0,20.0,,,6.0,,,43.5,,
2004_07_SEA_ARI,2004,REG,7,2004-10-24,SEA,17.0,ARI,25.0,8.0,42.0,,,-6.5,,,40.0,,
2004_07_DAL_GB,2004,REG,7,2004-10-24,DAL,20.0,GB,41.0,21.0,61.0,,,4.0,,,44.0,,
2004_07_NO_OAK,2004,REG,7,2004-10-24,NO,31.0,OAK,26.0,-5.0,57.0,,,3.0,,,45.5,,
2004_07_DEN_CIN,2004,REG,7,2004-10-25,DEN,10.0,CIN,23.0,13.0,33.0,,,-7.0,,,42.5,,
2004_08_ARI_BUF,2004,REG,8,2004-10-31,ARI,14.0,BUF,38.0,24.0,52.0,,,4.5,,,33.5,,
2004_08_DET_DAL,2004,REG,8,2004-10-31,DET,21.0,DAL,31.0,10.0,52.0,,,3.0,,,40.0,,
2004_08_JAX_HOU,2004,REG,8,2004-10-31,JAX,6.0,HOU,20.0,14.0,26.0,,,2.0,,,42.0,,
2004_08_IND_KC,2004,REG,8,2004-10-31,IND,35.0,KC,45.0,10.0,80.0,,,-1.0,,,56.5,,
2004_08_NYG_MIN,2004,REG,8,2004-10-31,NYG,34.0,MIN,13.0,-21.0,47.0,,,6.5,,,48.5,,
2004_08_BAL_PHI,2004,REG,8,2004-10-31,BAL,10.0,PHI,15.0,5.0,25.0,,,7.5,,,37.0,,
2004_08_CIN_TEN,2004,REG,8,2004-10-31,CIN,20.0,TEN,27.0,7.0,47.0,,,3.0,,,39.5,,
2004_08_GB_WAS,2004,REG,8,2004-10-31,GB,28.0,WAS,14.0,-14.0,42.0,,,-1.0,,,40.5,,
2004_08_ATL_DEN,2004,REG,8,2004-10-31,ATL,41.0,DEN,28.0,-13.0,69.0,,,7.0,,,39.5,,
2004_08_CAR_SEA,2004,REG,8,2004-10-31,CAR,17.0,SEA,23.0,6.0,40.0,,,8.0,,,39.0,,
2004_08_NE_PIT,2004,REG,8,2004-10-31,NE,20.0,PIT,34.0,14.0,54.0,,,-3.0,,,42.0,,
2004_08_OAK_SD,2004,REG,8,2004-10-31,OAK,14.0,SD,42.0,28.0,56.0,,,6.0,,,46.0,,
