game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,result,total,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_money_line_5Dimes,home_team_money_line_sportbet,away_team_money_line_5Dimes,away_team_money_line_sportbet,home_team_money_line_bet365,away_team_money_line_bet365,home_team_money_line_BOOKMAKER,home_team_money_line_BetCRIS,away_team_money_line_BOOKMAKER,away_team_money_line_BetCRIS,home_team_money_line_PINNACLE,away_team_money_line_PINNACLE,home_team_spread_5Dimes,home_team_spread_sportbet,away_team_spread_5Dimes,away_team_spread_sportbet,home_team_spread_bet365,away_team_spread_bet365,home_team_spread_BOVADA,home_team_spread_bodog,away_team_spread_BOVADA,away_team_spread_bodog,home_team_spread_BOOKMAKER,home_team_spread_BetCRIS,away_team_spread_BOOKMAKER,away_team_spread_BetCRIS,home_team_spread_PINNACLE,away_team_spread_PINNACLE,under_total_5Dimes,under_total_sportbet,over_total_5Dimes,over_total_sportbet,under_total_bet365,over_total_bet365,under_total_BOVADA,under_total_bodog,over_total_BOVADA,over_total_bodog,under_total_BOOKMAKER,under_total_BetCRIS,over_total_BOOKMAKER,over_total_BetCRIS,under_total_PINNACLE,over_total_PINNACLE,away_team_money_line_BOVADA,away_team_money_line_bodog,home_team_money_line_BOVADA,home_team_money_line_bodog,away_team_money_line_MATCHBOOK,home_team_money_line_MATCHBOOK,away_team_spread_MATCHBOOK,home_team_spread_MATCHBOOK,under_total_MATCHBOOK,over_total_MATCHBOOK
2006_01_MIA_PIT,2006.0,REG,1.0,2006-09-07,MIA,17.0,PIT,28.0,11.0,45.0,,,1.5,,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_ATL_CAR,2006.0,REG,1.0,2006-09-10,ATL,20.0,CAR,6.0,-14.0,26.0,,,4.5,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_NO_CLE,2006.0,REG,1.0,2006-09-10,NO,19.0,CLE,14.0,-5.0,33.0,,,3.0,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_SEA_DET,2006.0,REG,1.0,2006-09-10,SEA,9.0,DET,6.0,-3.0,15.0,,,-6.0,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_PHI_HOU,2006.0,REG,1.0,2006-09-10,PHI,24.0,HOU,10.0,-14.0,34.0,,,-6.0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_CIN_KC,2006.0,REG,1.0,2006-09-10,CIN,23.0,KC,10.0,-13.0,33.0,,,-1.5,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_BUF_NE,2006.0,REG,1.0,2006-09-10,BUF,17.0,NE,19.0,2.0,36.0,,,10.0,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_DEN_STL,2006.0,REG,1.0,2006-09-10,DEN,10.0,STL,18.0,8.0,28.0,,,-3.5,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_BAL_TB,2006.0,REG,1.0,2006-09-10,BAL,27.0,TB,0.0,-27.0,27.0,,,3.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006_01_NYJ_TEN,2006.0,REG,1.0,2006-09-10,NYJ,23.0,TEN,16.0,-7.0,39.0,,,2.5,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
