game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,result,total,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,away_team_money_line_5Dimes,away_team_money_line_sportbet,home_team_money_line_5Dimes,home_team_money_line_sportbet,away_team_money_line_bet365,home_team_money_line_bet365,away_team_money_line_BETOnline,away_team_money_line_SPORTS BETTING,home_team_money_line_BETOnline,home_team_money_line_SPORTS BETTING,away_team_money_line_BOVADA,away_team_money_line_bodog,home_team_money_line_BOVADA,home_team_money_line_bodog,away_team_money_line_BOOKMAKER,away_team_money_line_BetCRIS,home_team_money_line_BOOKMAKER,home_team_money_line_BetCRIS,away_team_money_line_JAZZ,home_team_money_line_JAZZ,away_team_money_line_JUSTBET,home_team_money_line_JUSTBET,away_team_money_line_MATCHBOOK,home_team_money_line_MATCHBOOK,away_team_money_line_PINNACLE,home_team_money_line_PINNACLE,away_team_money_line_intertops,home_team_money_line_intertops,away_team_money_line_Sports Interaction,home_team_money_line_Sports Interaction,away_team_money_line_youwager.eu,home_team_money_line_youwager.eu,away_team_money_line_HERITAGE,home_team_money_line_HERITAGE,away_team_money_line_SBR,home_team_money_line_SBR,away_team_spread_5Dimes,away_team_spread_sportbet,home_team_spread_5Dimes,home_team_spread_sportbet,away_team_spread_bet365,home_team_spread_bet365,away_team_spread_BETOnline,away_team_spread_SPORTS BETTING,home_team_spread_BETOnline,home_team_spread_SPORTS BETTING,away_team_spread_BOVADA,away_team_spread_bodog,home_team_spread_BOVADA,home_team_spread_bodog,away_team_spread_BOOKMAKER,away_team_spread_BetCRIS,home_team_spread_BOOKMAKER,home_team_spread_BetCRIS,away_team_spread_JAZZ,home_team_spread_JAZZ,away_team_spread_JUSTBET,home_team_spread_JUSTBET,away_team_spread_MATCHBOOK,home_team_spread_MATCHBOOK,away_team_spread_PINNACLE,home_team_spread_PINNACLE,away_team_spread_intertops,home_team_spread_intertops,away_team_spread_Sports Interaction,home_team_spread_Sports Interaction,away_team_spread_youwager.eu,home_team_spread_youwager.eu,away_team_spread_HERITAGE,home_team_spread_HERITAGE,away_team_spread_SBR,home_team_spread_SBR,under_total_5Dimes,under_total_sportbet,over_total_5Dimes,over_total_sportbet,under_total_bet365,over_total_bet365,under_total_BETOnline,under_total_SPORTS BETTING,over_total_BETOnline,over_total_SPORTS BETTING,under_total_BOVADA,under_total_bodog,over_total_BOVADA,over_total_bodog,under_total_BOOKMAKER,under_total_BetCRIS,over_total_BOOKMAKER,over_total_BetCRIS,under_total_JAZZ,over_total_JAZZ,under_total_JUSTBET,over_total_JUSTBET,under_total_MATCHBOOK,over_total_MATCHBOOK,under_total_PINNACLE,over_total_PINNACLE,under_total_intertops,over_total_intertops,under_total_Sports Interaction,over_total_Sports Interaction,under_total_youwager.eu,over_total_youwager.eu,under_total_HERITAGE,over_total_HERITAGE,under_total_SBR,over_total_SBR
2014_01_GB_SEA,2014.0,REG,1.0,2014-09-04,GB,16.0,SEA,36.0,20.0,52.0,205.0,-230.0,4.5,-102.0,-108.0,46.5,-102.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_NO_ATL,2014.0,REG,1.0,2014-09-07,NO,34.0,ATL,37.0,3.0,71.0,-160.0,144.0,-3.0,-106.0,-104.0,51.0,-104.0,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_CIN_BAL,2014.0,REG,1.0,2014-09-07,CIN,23.0,BAL,16.0,-7.0,39.0,102.0,-113.0,1.0,-104.0,-106.0,43.5,-103.0,-107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_BUF_CHI,2014.0,REG,1.0,2014-09-07,BUF,23.0,CHI,20.0,-3.0,43.0,239.0,-270.0,7.0,-125.0,113.0,47.0,-110.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_WAS_HOU,2014.0,REG,1.0,2014-09-07,WAS,6.0,HOU,17.0,11.0,23.0,159.0,-177.0,3.0,111.0,-123.0,43.5,-115.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_TEN_KC,2014.0,REG,1.0,2014-09-07,TEN,26.0,KC,10.0,-16.0,36.0,144.0,-160.0,3.0,-103.0,-107.0,45.5,-109.0,-101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_NE_MIA,2014.0,REG,1.0,2014-09-07,NE,20.0,MIA,33.0,13.0,53.0,-179.0,161.0,-3.5,102.0,-113.0,47.5,-108.0,-102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_OAK_NYJ,2014.0,REG,1.0,2014-09-07,OAK,14.0,NYJ,19.0,5.0,33.0,246.0,-278.0,6.5,-102.0,-108.0,41.0,-105.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_JAX_PHI,2014.0,REG,1.0,2014-09-07,JAX,17.0,PHI,34.0,17.0,51.0,435.0,-515.0,10.0,-113.0,102.0,49.0,-110.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_CLE_PIT,2014.0,REG,1.0,2014-09-07,CLE,27.0,PIT,30.0,3.0,57.0,216.0,-242.0,5.5,-103.0,-107.0,41.5,-106.0,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_MIN_STL,2014.0,REG,1.0,2014-09-07,MIN,34.0,STL,6.0,-28.0,40.0,140.0,-155.0,3.0,-113.0,102.0,43.5,-114.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_SF_DAL,2014.0,REG,1.0,2014-09-07,SF,28.0,DAL,17.0,-11.0,45.0,-154.0,139.0,-3.5,113.0,-125.0,49.0,100.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_CAR_TB,2014.0,REG,1.0,2014-09-07,CAR,20.0,TB,14.0,-6.0,34.0,201.0,-225.0,5.5,-106.0,-104.0,38.5,-108.0,-102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_IND_DEN,2014.0,REG,1.0,2014-09-07,IND,24.0,DEN,31.0,7.0,55.0,330.0,-380.0,8.0,-105.0,-105.0,52.5,100.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_NYG_DET,2014.0,REG,1.0,2014-09-08,NYG,14.0,DET,35.0,21.0,49.0,241.0,-272.0,6.5,100.0,-110.0,45.0,100.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01_SD_ARI,2014.0,REG,1.0,2014-09-08,SD,17.0,ARI,18.0,1.0,35.0,139.0,-154.0,3.0,-108.0,-102.0,45.5,-105.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_PIT_BAL,2014.0,REG,2.0,2014-09-11,PIT,6.0,BAL,26.0,20.0,32.0,136.0,-150.0,2.5,109.0,-120.0,44.0,-108.0,-102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_MIA_BUF,2014.0,REG,2.0,2014-09-14,MIA,10.0,BUF,29.0,19.0,39.0,102.0,-113.0,1.0,-105.0,-105.0,43.0,-105.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_DET_CAR,2014.0,REG,2.0,2014-09-14,DET,7.0,CAR,24.0,17.0,31.0,102.0,-113.0,1.0,-105.0,-105.0,43.5,101.0,-111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_ATL_CIN,2014.0,REG,2.0,2014-09-14,ATL,10.0,CIN,24.0,14.0,34.0,216.0,-242.0,5.5,-108.0,-102.0,48.5,-109.0,-101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_NO_CLE,2014.0,REG,2.0,2014-09-14,NO,24.0,CLE,26.0,2.0,50.0,-220.0,197.0,-4.5,-110.0,100.0,49.5,-103.0,-107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_NE_MIN,2014.0,REG,2.0,2014-09-14,NE,30.0,MIN,7.0,-23.0,37.0,-164.0,148.0,-3.5,118.0,-130.0,49.0,-108.0,-102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_ARI_NYG,2014.0,REG,2.0,2014-09-14,ARI,25.0,NYG,14.0,-11.0,39.0,104.0,-115.0,1.0,-102.0,-108.0,41.5,-102.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_DAL_TEN,2014.0,REG,2.0,2014-09-14,DAL,26.0,TEN,10.0,-16.0,36.0,151.0,-167.0,3.0,102.0,-113.0,49.5,-102.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_JAX_WAS,2014.0,REG,2.0,2014-09-14,JAX,10.0,WAS,41.0,31.0,51.0,197.0,-220.0,5.0,-113.0,102.0,43.0,-108.0,-102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_SEA_SD,2014.0,REG,2.0,2014-09-14,SEA,21.0,SD,30.0,9.0,51.0,-225.0,201.0,-4.5,-109.0,-101.0,45.0,-106.0,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_STL_TB,2014.0,REG,2.0,2014-09-14,STL,19.0,TB,17.0,-2.0,36.0,184.0,-205.0,4.0,-105.0,-105.0,37.5,-105.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02_KC_DEN,2014.0,REG,2.0,2014-09-14,KC,17.0,DEN,24.0,7.0,41.0,704.0,-900.0,13.0,102.0,-113.0,49.0,-105.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
