date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2019-04-27,Brazil,1,2019,Atletico-MG,Avai,1.58,4.09,7.0,,,1.53,3.9,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-27,Brazil,1,2019,Chapecoense-SC,Internacional,3.15,3.2,2.71,,,2.94,2.94,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-27,Brazil,1,2019,Sao Paulo,Botafogo RJ,1.81,3.6,5.8,,,1.74,3.37,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-28,Brazil,1,2019,Athletico-PR,Vasco,1.5,4.33,8.5,,,1.46,4.02,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-28,Brazil,1,2019,Bahia,Corinthians,2.35,3.3,3.69,,,2.23,3.06,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-28,Brazil,1,2019,Ceara,CSA,1.89,3.5,4.85,,,1.84,3.32,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-28,Brazil,1,2019,Flamengo RJ,Cruzeiro,2.32,3.4,3.57,,,2.21,3.12,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-28,Brazil,1,2019,Fluminense,Goias,1.84,3.68,5.2,,,1.75,3.49,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-28,Brazil,1,2019,Gremio,Santos,1.83,3.6,5.94,,,1.71,3.41,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-04-28,Brazil,1,2019,Palmeiras,Fortaleza,1.4,4.98,10.0,,,1.36,4.66,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-01,Brazil,1,2019,Internacional,Flamengo RJ,2.44,3.22,3.34,,,2.33,3.09,3.17,,,0.0,0.0,0.0,2.0,-1.1800000000000002,0.82,0.0,0.0,0.0,2.0,-1.1800000000000002,0.82,3.0,3.0,3.0,1.0,1.8199999999999998,-0.18000000000000002,3.0,3.0,3.0,1.0,1.8199999999999998,-0.18000000000000002,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-01,Brazil,1,2019,Cruzeiro,Ceara,1.52,4.65,9.05,,,1.46,3.97,7.58,,,0.0,0.0,1.0,3.0,-0.18000000000000002,1.8199999999999998,0.0,0.0,1.0,3.0,-0.18000000000000002,1.8199999999999998,3.0,3.0,4.0,0.0,2.8200000000000003,-1.1800000000000002,3.0,3.0,4.0,0.0,2.8200000000000003,-1.1800000000000002,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-01,Brazil,1,2019,Corinthians,Chapecoense-SC,1.67,3.6,7.5,,,1.62,3.42,6.38,,,0.0,0.0,2.0,3.0,0.82,1.8199999999999998,0.0,0.0,2.0,3.0,0.82,1.8199999999999998,3.0,3.0,2.0,0.0,0.82,-1.1800000000000002,3.0,3.0,2.0,0.0,0.82,-1.1800000000000002,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-01,Brazil,1,2019,CSA,Palmeiras,7.8,4.0,1.56,,,6.88,3.85,1.51,,,0.0,0.0,0.0,4.0,-1.1800000000000002,2.8200000000000003,0.0,0.0,0.0,4.0,-1.1800000000000002,2.8200000000000003,3.0,3.0,4.0,0.0,2.8200000000000003,-1.1800000000000002,3.0,3.0,4.0,0.0,2.8200000000000003,-1.1800000000000002,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-01,Brazil,1,2019,Avai,Gremio,4.2,3.3,2.21,,,3.72,3.11,2.1,,,0.0,0.0,1.0,2.0,-0.18000000000000002,0.82,0.0,0.0,1.0,2.0,-0.18000000000000002,0.82,0.0,0.0,1.0,2.0,-0.18000000000000002,0.82,0.0,0.0,1.0,2.0,-0.18000000000000002,0.82,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-02,Brazil,1,2019,Fortaleza,Athletico-PR,3.65,3.27,2.29,,,3.42,3.09,2.21,,,0.0,0.0,0.0,4.0,-1.1800000000000002,2.8200000000000003,0.0,0.0,0.0,4.0,-1.1800000000000002,2.8200000000000003,3.0,3.0,4.0,1.0,2.8200000000000003,-0.18000000000000002,3.0,3.0,4.0,1.0,2.8200000000000003,-0.18000000000000002,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-02,Brazil,1,2019,Goias,Sao Paulo,3.18,3.15,2.63,,,3.03,2.98,2.49,,,3.0,3.0,1.0,0.0,-0.18000000000000002,-1.1800000000000002,3.0,3.0,1.0,0.0,-0.18000000000000002,-1.1800000000000002,3.0,3.0,2.0,0.0,0.82,-1.1800000000000002,3.0,3.0,2.0,0.0,0.82,-1.1800000000000002,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-02,Brazil,1,2019,Santos,Fluminense,1.68,3.9,6.5,,,1.61,3.69,5.64,,,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,0.0,0.0,0.0,1.0,-1.1800000000000002,-0.18000000000000002,0.0,0.0,0.0,1.0,-1.1800000000000002,-0.18000000000000002,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-02,Brazil,1,2019,Vasco,Atletico-MG,3.4,3.38,2.37,,,3.15,3.17,2.3,,,0.0,0.0,1.0,4.0,-0.18000000000000002,2.8200000000000003,0.0,0.0,1.0,4.0,-0.18000000000000002,2.8200000000000003,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-03,Brazil,1,2019,Botafogo RJ,Bahia,2.36,3.15,3.57,,,2.27,3.0,3.42,,,0.0,0.0,0.0,2.0,-1.1800000000000002,0.82,0.0,0.0,0.0,2.0,-1.1800000000000002,0.82,3.0,3.0,3.0,2.0,1.8199999999999998,0.82,3.0,3.0,3.0,2.0,1.8199999999999998,0.82,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-04,Brazil,1,2019,Palmeiras,Internacional,1.66,4.0,6.5,,,1.6,3.7,5.78,,,2.0,2.0,2.5,0.5,1.32,-0.68,2.0,2.0,2.5,0.5,1.32,-0.68,1.5,1.5,1.0,1.5,-0.1800000000000001,0.31999999999999995,1.5,1.5,1.0,1.5,-0.1800000000000001,0.31999999999999995,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-04,Brazil,1,2019,Vasco,Corinthians,3.26,3.2,2.5,,,3.1,3.06,2.39,,,0.0,0.0,1.0,3.0,-0.18000000000000002,1.82,0.0,0.0,1.0,3.0,-0.18000000000000002,1.82,1.5,1.5,1.5,1.5,0.31999999999999995,0.31999999999999984,1.5,1.5,1.5,1.5,0.31999999999999995,0.31999999999999984,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,Sao Paulo,Flamengo RJ,2.13,3.5,4.2,,,1.99,3.28,3.85,,,3.0,3.0,2.0,0.5,0.82,-0.68,3.0,3.0,2.0,0.5,0.82,-0.68,1.5,1.5,2.0,1.5,0.82,0.31999999999999995,1.5,1.5,2.0,1.5,0.82,0.31999999999999995,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,Gremio,Fluminense,1.59,4.14,7.8,,,1.51,3.85,6.79,,,0.5,0.5,1.0,1.5,-0.18000000000000002,0.31999999999999995,0.5,0.5,1.0,1.5,-0.18000000000000002,0.31999999999999995,0.0,0.0,0.5,1.5,-0.68,0.31999999999999995,0.0,0.0,0.5,1.5,-0.68,0.31999999999999995,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,Cruzeiro,Goias,1.43,4.6,11.0,,,1.38,4.36,8.71,,,1.5,1.5,1.0,1.5,-0.18000000000000002,0.31999999999999984,1.5,1.5,1.0,1.5,-0.18000000000000002,0.31999999999999984,1.5,1.5,1.0,1.0,-0.18000000000000002,-0.1800000000000001,1.5,1.5,1.0,1.0,-0.18000000000000002,-0.1800000000000001,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,Chapecoense-SC,Athletico-PR,2.66,3.13,3.2,,,2.49,2.96,3.04,,,1.5,1.5,1.0,0.5,-0.1800000000000001,-0.68,1.5,1.5,1.0,0.5,-0.1800000000000001,-0.68,1.5,1.5,2.5,1.5,1.32,0.31999999999999995,1.5,1.5,2.5,1.5,1.32,0.31999999999999995,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,Bahia,Avai,1.65,3.91,7.0,,,1.6,3.68,5.87,,,1.5,1.5,2.5,2.5,1.3199999999999998,1.3199999999999998,1.5,1.5,2.5,2.5,1.3199999999999998,1.3199999999999998,0.5,0.5,1.0,1.5,-0.18000000000000002,0.31999999999999995,0.5,0.5,1.0,1.5,-0.18000000000000002,0.31999999999999995,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,CSA,Santos,5.0,3.55,1.89,,,4.57,3.37,1.81,,,0.5,0.5,0.5,2.5,-0.68,1.32,0.5,0.5,0.5,2.5,-0.68,1.32,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,Botafogo RJ,Fortaleza,1.81,4.0,5.3,,,1.71,3.68,4.74,,,1.5,1.5,1.5,2.0,0.31999999999999984,0.82,1.5,1.5,1.5,2.0,0.31999999999999984,0.82,1.5,1.5,1.0,2.5,-0.1800000000000001,1.32,1.5,1.5,1.0,2.5,-0.1800000000000001,1.32,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-05,Brazil,1,2019,Ceara,Atletico-MG,2.42,3.25,3.3,,,2.31,3.12,3.17,,,1.5,1.5,2.0,0.5,0.8200000000000001,-0.68,1.5,1.5,2.0,0.5,0.8200000000000001,-0.68,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-11,Brazil,1,2019,Corinthians,Gremio,3.02,3.04,2.8,,,2.87,2.89,2.67,,,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.1533333333333333,0.1533333333333332,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.1533333333333333,0.1533333333333332,0.3333333333333333,0.3333333333333333,2.0,2.6666666666666665,0.8200000000000002,1.4866666666666666,0.3333333333333333,0.3333333333333333,2.0,2.6666666666666665,0.8200000000000002,1.4866666666666666,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-11,Brazil,1,2019,Fluminense,Botafogo RJ,2.1,3.4,4.16,,,1.98,3.26,3.91,,,1.0,1.0,2.0,2.3333333333333335,0.82,1.1533333333333333,1.0,1.0,2.0,2.3333333333333335,0.82,1.1533333333333333,2.0,2.0,1.3333333333333333,1.3333333333333333,0.1533333333333332,0.15333333333333324,2.0,2.0,1.3333333333333333,1.3333333333333333,0.1533333333333332,0.15333333333333324,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-12,Brazil,1,2019,Santos,Vasco,1.48,4.8,8.56,,,1.4,4.52,7.44,,,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.15333333333333324,-0.5133333333333334,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.15333333333333324,-0.5133333333333334,0.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,-0.18000000000000002,1.1533333333333335,0.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,-0.18000000000000002,1.1533333333333335,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-12,Brazil,1,2019,Internacional,Cruzeiro,2.11,3.25,4.26,,,2.02,3.12,3.98,,,1.0,1.0,0.6666666666666666,1.3333333333333333,-0.5133333333333335,0.1533333333333333,1.0,1.0,0.6666666666666666,1.3333333333333333,-0.5133333333333335,0.1533333333333333,2.0,2.0,1.3333333333333333,1.3333333333333333,0.1533333333333333,0.1533333333333332,2.0,2.0,1.3333333333333333,1.3333333333333333,0.1533333333333333,0.1533333333333332,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-12,Brazil,1,2019,Goias,Ceara,2.2,3.24,4.0,,,2.12,3.08,3.69,,,1.0,1.0,1.0,1.3333333333333333,-0.18000000000000002,0.15333333333333324,1.0,1.0,1.0,1.3333333333333333,-0.18000000000000002,0.15333333333333324,1.0,1.0,1.6666666666666667,1.0,0.48666666666666675,-0.18000000000000008,1.0,1.0,1.6666666666666667,1.0,0.48666666666666675,-0.18000000000000008,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-12,Brazil,1,2019,Fortaleza,Sao Paulo,3.0,3.15,2.77,,,2.86,3.03,2.58,,,1.0,1.0,0.6666666666666666,2.0,-0.5133333333333335,0.8200000000000002,1.0,1.0,0.6666666666666666,2.0,-0.5133333333333335,0.8200000000000002,2.3333333333333335,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.48666666666666664,-0.5133333333333334,2.3333333333333335,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.48666666666666664,-0.5133333333333334,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-12,Brazil,1,2019,Avai,CSA,1.75,3.75,5.8,,,1.69,3.5,5.28,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,-0.5133333333333334,0.1533333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,-0.5133333333333334,0.1533333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,-0.8466666666666667,0.48666666666666675,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,-0.8466666666666667,0.48666666666666675,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-12,Brazil,1,2019,Atletico-MG,Palmeiras,3.37,3.2,2.52,,,3.12,2.99,2.42,,,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,3.0,3.0,2.0,1.0,0.82,-0.18000000000000002,2.3333333333333335,2.3333333333333335,2.0,0.3333333333333333,0.8200000000000002,-0.8466666666666667,2.3333333333333335,2.3333333333333335,2.0,0.3333333333333333,0.8200000000000002,-0.8466666666666667,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-12,Brazil,1,2019,Athletico-PR,Bahia,1.87,3.75,5.0,,,1.8,3.39,4.59,,,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,0.8200000000000002,0.1533333333333333,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,0.8200000000000002,0.1533333333333333,2.0,2.0,2.0,1.6666666666666667,0.82,0.4866666666666665,2.0,2.0,2.0,1.6666666666666667,0.82,0.4866666666666665,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
