date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2022-08-05,France,1,2023,Lyon,Ajaccio,1.36,5.7,11.0,1.74,2.31,1.32,5.35,9.65,1.68,2.21,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,11.0,8.0,6.0,4.0,4.0,3.0,1.0,6.0,1.0,1.0
2022-08-06,France,1,2023,Clermont,Paris SG,11.5,7.0,1.3,1.43,3.25,10.06,6.53,1.26,1.38,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,7.0,18.0,1.0,12.0,0.0,6.0,2.0,1.0,0.0,0.0
2022-08-06,France,1,2023,Strasbourg,Monaco,2.7,3.56,2.92,2.09,1.98,2.6,3.36,2.75,1.97,1.85,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,11.0,24.0,7.0,11.0,3.0,7.0,0.0,2.0,0.0,0.0
2022-08-07,France,1,2023,Rennes,Lorient,1.37,5.6,10.0,1.69,2.4,1.34,5.25,8.85,1.62,2.31,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,21.0,8.0,6.0,2.0,7.0,2.0,3.0,1.0,0.0,0.0
2022-08-07,France,1,2023,Montpellier,Troyes,2.25,3.58,3.49,1.97,1.99,2.19,3.42,3.35,1.91,1.9,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,17.0,15.0,6.0,10.0,3.0,6.0,1.0,0.0,0.0,0.0
2022-08-07,France,1,2023,Marseille,Reims,1.63,4.33,6.53,2.02,1.97,1.57,4.07,6.05,1.92,1.89,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,16.0,16.0,6.0,6.0,6.0,7.0,2.0,0.0,0.0,0.0
2022-08-07,France,1,2023,Toulouse,Nice,2.97,3.64,2.57,1.92,2.02,2.84,3.41,2.49,1.86,1.96,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,11.0,4.0,4.0,6.0,3.0,1.0,2.0,0.0,0.0
2022-08-07,France,1,2023,Lens,Brest,1.6,4.7,6.0,1.73,2.31,1.56,4.43,5.54,1.66,2.23,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,17.0,6.0,7.0,4.0,6.0,3.0,2.0,4.0,0.0,0.0
2022-08-07,France,1,2023,Angers,Nantes,2.84,3.3,2.82,2.23,1.8,2.73,3.22,2.71,2.13,1.72,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,14.0,6.0,4.0,3.0,6.0,3.0,3.0,0.0,0.0
2022-08-07,France,1,2023,Lille,Auxerre,1.78,4.1,5.04,1.92,2.07,1.72,3.93,4.73,1.83,1.98,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,16.0,10.0,7.0,2.0,7.0,2.0,2.0,1.0,0.0,0.0
2022-08-12,France,1,2023,Nantes,Lille,3.15,3.52,2.48,2.06,1.95,3.02,3.37,2.4,1.95,1.87,1.0,1.0,0.0,0.0,0.69,0.9,1.0,1.0,0.0,0.0,0.69,0.9,3.0,3.0,4.0,1.0,5.01,1.31,3.0,3.0,4.0,1.0,5.01,1.31,1.0,1.0,10.0,16.0,1.0,5.0,5.0,11.0,1.0,4.0,0.0,0.0
2022-08-13,France,1,2023,Monaco,Rennes,2.24,3.8,3.48,1.83,2.2,2.17,3.6,3.26,1.76,2.08,3.0,3.0,2.0,1.0,3.49,1.8699999999999999,3.0,3.0,2.0,1.0,3.49,1.8699999999999999,0.0,0.0,0.0,1.0,0.94,1.31,0.0,0.0,0.0,1.0,0.94,1.31,1.0,1.0,12.0,24.0,4.0,8.0,1.0,6.0,0.0,3.0,1.0,0.0
2022-08-13,France,1,2023,Paris SG,Montpellier,1.11,14.0,31.0,1.25,4.6,1.1,11.08,24.23,1.22,4.25,3.0,3.0,5.0,0.0,6.55,0.22,3.0,3.0,5.0,0.0,6.55,0.22,3.0,3.0,3.0,2.0,3.8,3.2600000000000002,3.0,3.0,3.0,2.0,3.8,3.2600000000000002,5.0,2.0,20.0,7.0,10.0,4.0,11.0,0.0,2.0,1.0,0.0,0.0
2022-08-14,France,1,2023,Troyes,Toulouse,2.76,3.46,2.76,2.17,1.81,2.67,3.3,2.7,2.1,1.74,0.0,0.0,2.0,3.0,3.2600000000000002,3.8,0.0,0.0,2.0,3.0,3.2600000000000002,3.8,1.0,1.0,1.0,1.0,1.5900000000000003,1.61,1.0,1.0,1.0,1.0,1.5900000000000003,1.61,0.0,3.0,12.0,10.0,2.0,4.0,6.0,6.0,2.0,1.0,0.0,0.0
2022-08-14,France,1,2023,Ajaccio,Lens,3.35,3.37,2.46,2.35,1.71,3.16,3.25,2.36,2.22,1.67,0.0,0.0,1.0,2.0,2.8099999999999996,3.81,0.0,0.0,1.0,2.0,2.8099999999999996,3.81,3.0,3.0,3.0,2.0,4.0,2.71,3.0,3.0,3.0,2.0,4.0,2.71,0.0,0.0,9.0,12.0,2.0,3.0,1.0,3.0,5.0,2.0,0.0,0.0
