date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2018-08-25,Greece,1,2019,AEK,Giannina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,17.0,8.0,11.0,2.0,2.0,3.0,2.0,4.0,0.0,0.0
2018-08-25,Greece,1,2019,Apollon,Larisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7.0,5.0,0.0,3.0,5.0,2.0,2.0,4.0,0.0,0.0
2018-08-25,Greece,1,2019,PAOK,Asteras Tripolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,12.0,10.0,4.0,4.0,4.0,6.0,2.0,4.0,0.0,0.0
2018-08-25,Greece,1,2019,Panetolikos,Atromitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,14.0,4.0,7.0,4.0,4.0,3.0,4.0,0.0,0.0
2018-08-26,Greece,1,2019,Olympiakos,Levadeiakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,21.0,4.0,9.0,2.0,8.0,0.0,1.0,7.0,0.0,0.0
2018-08-26,Greece,1,2019,Panionios,OFI Crete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,15.0,9.0,9.0,6.0,9.0,3.0,4.0,2.0,0.0,0.0
2018-08-26,Greece,1,2019,Xanthi,Panathinaikos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7.0,9.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,0.0
2018-08-27,Greece,1,2019,Lamia,Aris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,11.0,11.0,6.0,5.0,5.0,4.0,3.0,2.0,0.0,0.0
2018-09-01,Greece,1,2019,Asteras Tripolis,AEK,,,,,,,,,,,0.0,0.0,0.0,1.0,0.74,1.62,0.0,0.0,0.0,1.0,0.74,1.62,3.0,3.0,2.0,0.0,3.4400000000000004,0.47,3.0,3.0,2.0,0.0,3.4400000000000004,0.47,0.0,1.0,4.0,6.0,1.0,3.0,1.0,7.0,2.0,4.0,0.0,0.0
2018-09-01,Greece,1,2019,Atromitos,Xanthi,,,,,,,,,,,3.0,3.0,2.0,1.0,3.0800000000000005,1.67,3.0,3.0,2.0,1.0,3.0800000000000005,1.67,0.0,0.0,0.0,1.0,1.2300000000000002,1.7000000000000002,0.0,0.0,0.0,1.0,1.2300000000000002,1.7000000000000002,0.0,0.0,6.0,6.0,1.0,2.0,5.0,3.0,2.0,4.0,0.0,0.0
