date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2008-01-11,Italy,1,2009,Juventus,Roma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,21.0,6.0,6.0,0.0,11.0,6.0,0.0,2.0,0.0,0.0
2008-01-11,Italy,1,2009,Reggina,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,17.0,19.0,7.0,7.0,4.0,2.0,1.0,1.0,0.0,0.0
2008-02-11,Italy,1,2009,Atalanta,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9.0,11.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,0.0
2008-02-11,Italy,1,2009,Cagliari,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,23.0,4.0,14.0,1.0,9.0,2.0,1.0,2.0,0.0,0.0
2008-02-11,Italy,1,2009,Lazio,Catania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14.0,6.0,7.0,1.0,7.0,2.0,4.0,2.0,0.0,0.0
2008-02-11,Italy,1,2009,Milan,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20.0,8.0,6.0,4.0,13.0,2.0,2.0,2.0,0.0,1.0
2008-02-11,Italy,1,2009,Palermo,Chievo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,11.0,17.0,3.0,2.0,4.0,8.0,1.0,2.0,1.0,0.0
2008-02-11,Italy,1,2009,Sampdoria,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,15.0,10.0,5.0,4.0,8.0,2.0,1.0,3.0,0.0,0.0
2008-02-11,Italy,1,2009,Siena,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,10.0,12.0,4.0,4.0,6.0,3.0,1.0,1.0,0.0,0.0
2008-02-11,Italy,1,2009,Udinese,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,12.0,21.0,5.0,9.0,5.0,6.0,2.0,2.0,0.0,0.0
2008-04-10,Italy,1,2009,Inter,Bologna,,,,,,,,,,,3.0,3.0,3.0,2.0,3.91,2.93,3.0,3.0,3.0,2.0,3.91,2.93,0.0,0.0,1.0,5.0,1.2400000000000002,6.819999999999999,0.0,0.0,1.0,5.0,1.2400000000000002,6.819999999999999,2.0,1.0,22.0,12.0,11.0,4.0,11.0,5.0,2.0,2.0,0.0,0.0
2008-04-10,Italy,1,2009,Lazio,Lecce,,,,,,,,,,,3.0,3.0,1.0,0.0,2.11,0.24,3.0,3.0,1.0,0.0,2.11,0.24,1.0,0.0,0.0,0.0,0.5,1.2100000000000002,1.0,0.0,0.0,0.0,0.5,1.2100000000000002,1.0,1.0,28.0,6.0,7.0,3.0,10.0,3.0,2.0,4.0,0.0,0.0
2008-05-10,Italy,1,2009,Udinese,Torino,,,,,,,,,,,1.0,0.0,2.0,2.0,2.75,3.24,1.0,0.0,2.0,2.0,2.75,3.24,0.0,0.0,0.0,1.0,0.65,1.7300000000000002,0.0,0.0,0.0,1.0,0.65,1.7300000000000002,2.0,0.0,11.0,6.0,2.0,3.0,3.0,4.0,2.0,4.0,0.0,0.0
2008-05-10,Italy,1,2009,Siena,Roma,,,,,,,,,,,3.0,3.0,1.0,0.0,1.5900000000000003,0.56,3.0,3.0,1.0,0.0,1.5900000000000003,0.56,0.0,0.0,0.0,2.0,0.16,2.83,0.0,0.0,0.0,2.0,0.16,2.83,1.0,0.0,11.0,16.0,3.0,6.0,3.0,4.0,3.0,1.0,0.0,2.0
2008-05-10,Italy,1,2009,Reggina,Catania,,,,,,,,,,,0.0,0.0,2.0,3.0,2.93,3.91,0.0,0.0,2.0,3.0,2.93,3.91,0.0,0.0,0.0,1.0,0.24,2.11,0.0,0.0,0.0,1.0,0.24,2.11,1.0,1.0,36.0,12.0,7.0,2.0,18.0,5.0,2.0,3.0,0.0,1.0
2008-05-10,Italy,1,2009,Juventus,Palermo,,,,,,,,,,,3.0,3.0,2.0,0.0,2.83,0.16,3.0,3.0,2.0,0.0,2.83,0.16,3.0,3.0,3.0,0.0,4.449999999999999,0.42000000000000004,3.0,3.0,3.0,0.0,4.449999999999999,0.42000000000000004,1.0,2.0,11.0,13.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0
2008-05-10,Italy,1,2009,Atalanta,Sampdoria,,,,,,,,,,,1.0,3.0,0.0,0.0,1.2100000000000002,0.5,1.0,3.0,0.0,0.0,1.2100000000000002,0.5,3.0,3.0,1.0,0.0,1.7300000000000002,0.65,3.0,3.0,1.0,0.0,1.7300000000000002,0.65,4.0,2.0,20.0,4.0,11.0,3.0,5.0,2.0,3.0,3.0,0.0,2.0
2008-05-10,Italy,1,2009,Chievo,Fiorentina,,,,,,,,,,,0.0,0.0,0.0,3.0,0.42000000000000004,4.449999999999999,0.0,0.0,0.0,3.0,0.42000000000000004,4.449999999999999,0.0,0.0,0.0,1.0,0.56,1.5900000000000003,0.0,0.0,0.0,1.0,0.56,1.5900000000000003,0.0,2.0,11.0,12.0,3.0,8.0,5.0,4.0,3.0,2.0,1.0,0.0
2008-05-10,Italy,1,2009,Cagliari,Milan,,,,,,,,,,,3.0,3.0,5.0,1.0,6.819999999999999,1.2400000000000002,3.0,3.0,5.0,1.0,6.819999999999999,1.2400000000000002,3.0,3.0,1.0,0.0,1.9500000000000002,1.6,3.0,3.0,1.0,0.0,1.9500000000000002,1.6,0.0,0.0,12.0,15.0,4.0,4.0,5.0,5.0,3.0,3.0,0.0,0.0
