date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2024-08-09,Portugal,1,2025,Sp Lisbon,Rio Ave,1.18,8.8,18.0,1.49,2.88,1.16,7.79,15.44,1.44,2.74,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,23.0,3.0,6.0,1.0,6.0,1.0,2.0,2.0,0.0,0.0
2024-08-10,Portugal,1,2025,AVS,Nacional,2.31,3.37,3.39,2.16,1.78,2.26,3.28,3.21,2.09,1.74,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,17.0,6.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0
2024-08-10,Portugal,1,2025,Casa Pia,Boavista,1.97,3.6,4.3,2.16,1.79,1.93,3.47,3.98,2.08,1.74,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15.0,5.0,4.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0
2024-08-10,Portugal,1,2025,Porto,Gil Vicente,1.19,8.1,17.0,1.55,2.63,1.18,7.17,14.72,1.52,2.5,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,16.0,3.0,7.0,2.0,6.0,2.0,0.0,3.0,0.0,1.0
2024-08-11,Portugal,1,2025,Estoril,Santa Clara,2.27,3.33,3.6,2.52,1.61,2.18,3.22,3.47,2.38,1.57,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,9.0,2.0,8.0,1.0,3.0,6.0,3.0,0.0,0.0
2024-08-11,Portugal,1,2025,Famalicao,Benfica,7.0,5.0,1.47,1.61,2.47,6.54,4.68,1.44,1.58,2.36,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,9.0,10.0,5.0,1.0,0.0,7.0,3.0,4.0,0.0,0.0
2024-08-11,Portugal,1,2025,Farense,Moreirense,3.07,3.3,2.55,2.24,1.74,2.92,3.22,2.47,2.16,1.69,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,10.0,10.0,5.0,6.0,5.0,4.0,0.0,4.0,0.0,1.0
2024-08-11,Portugal,1,2025,Sp Braga,Estrela,1.4,5.4,8.0,1.6,2.55,1.38,5.04,7.45,1.54,2.42,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,13.0,6.0,5.0,4.0,13.0,4.0,3.0,5.0,0.0,0.0
2024-08-12,Portugal,1,2025,Arouca,Guimaraes,2.95,3.48,2.51,1.95,1.97,2.85,3.4,2.42,1.89,1.91,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8.0,11.0,0.0,4.0,6.0,5.0,7.0,2.0,1.0,0.0
2024-08-16,Portugal,1,2025,Gil Vicente,AVS,2.34,3.4,3.4,2.13,1.82,2.28,3.3,3.19,2.05,1.77,0.0,0.0,0.0,3.0,1.41,3.9000000000000004,0.0,0.0,0.0,3.0,1.41,3.9000000000000004,1.0,1.0,1.0,1.0,1.4500000000000002,1.31,1.0,1.0,1.0,1.0,1.4500000000000002,1.31,4.0,2.0,16.0,10.0,6.0,5.0,2.0,3.0,1.0,4.0,0.0,1.0
2024-08-16,Portugal,1,2025,Santa Clara,Porto,6.2,4.5,1.57,1.98,1.94,5.93,4.24,1.53,1.91,1.9,3.0,3.0,4.0,1.0,5.140000000000001,1.55,3.0,3.0,4.0,1.0,5.140000000000001,1.55,3.0,3.0,3.0,0.0,3.9000000000000004,1.41,3.0,3.0,3.0,0.0,3.9000000000000004,1.41,0.0,2.0,5.0,8.0,2.0,6.0,2.0,2.0,2.0,3.0,1.0,0.0
2024-08-17,Portugal,1,2025,Benfica,Casa Pia,1.2,8.6,15.0,1.46,2.93,1.18,7.44,13.53,1.42,2.79,0.0,0.0,0.0,2.0,0.39000000000000007,2.75,0.0,0.0,0.0,2.0,0.39000000000000007,2.75,0.0,0.0,0.0,1.0,0.61,1.3,0.0,0.0,0.0,1.0,0.61,1.3,3.0,0.0,26.0,5.0,7.0,1.0,12.0,2.0,0.0,1.0,0.0,0.0
2024-08-17,Portugal,1,2025,Nacional,Sp Lisbon,12.0,6.7,1.27,1.62,2.45,10.74,6.03,1.25,1.57,2.37,1.0,1.0,1.0,1.0,1.31,1.4500000000000002,1.0,1.0,1.0,1.0,1.31,1.4500000000000002,3.0,3.0,3.0,1.0,3.8800000000000003,1.2300000000000002,3.0,3.0,3.0,1.0,3.8800000000000003,1.2300000000000002,1.0,6.0,12.0,20.0,6.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0
2024-08-17,Portugal,1,2025,Rio Ave,Farense,2.08,3.54,3.96,2.06,1.87,2.01,3.42,3.75,1.99,1.82,0.0,0.0,1.0,3.0,1.2300000000000002,3.8800000000000003,0.0,0.0,1.0,3.0,1.2300000000000002,3.8800000000000003,0.0,0.0,1.0,2.0,1.6500000000000001,3.9600000000000004,0.0,0.0,1.0,2.0,1.6500000000000001,3.9600000000000004,1.0,0.0,9.0,14.0,3.0,4.0,7.0,14.0,0.0,1.0,0.0,0.0
2024-08-18,Portugal,1,2025,Moreirense,Arouca,2.41,3.4,3.31,2.14,1.8,2.34,3.25,3.1,2.06,1.76,3.0,3.0,2.0,1.0,3.9600000000000004,1.6500000000000001,3.0,3.0,2.0,1.0,3.9600000000000004,1.6500000000000001,0.0,1.0,0.0,1.0,1.4100000000000001,1.6300000000000001,0.0,1.0,0.0,1.0,1.4100000000000001,1.6300000000000001,3.0,1.0,14.0,15.0,6.0,3.0,7.0,5.0,1.0,2.0,0.0,0.0
2024-08-18,Portugal,1,2025,Boavista,Sp Braga,5.75,4.4,1.64,1.81,2.17,5.2,4.16,1.6,1.74,2.09,3.0,3.0,1.0,0.0,1.3,0.61,3.0,3.0,1.0,0.0,1.3,0.61,1.0,1.0,1.0,1.0,1.88,1.77,1.0,1.0,1.0,1.0,1.88,1.77,0.0,1.0,7.0,12.0,1.0,3.0,3.0,8.0,3.0,1.0,0.0,0.0
2024-08-18,Portugal,1,2025,Guimaraes,Estoril,1.6,4.2,6.2,1.96,1.98,1.58,4.03,5.68,1.89,1.91,3.0,1.0,1.0,0.0,1.6300000000000001,1.4100000000000001,3.0,1.0,1.0,0.0,1.6300000000000001,1.4100000000000001,0.0,0.0,1.0,4.0,1.55,5.140000000000001,0.0,0.0,1.0,4.0,1.55,5.140000000000001,1.0,0.0,14.0,3.0,5.0,1.0,9.0,3.0,2.0,1.0,0.0,0.0
2024-08-19,Portugal,1,2025,Estrela,Famalicao,2.6,3.32,3.0,2.25,1.72,2.48,3.22,2.91,2.18,1.67,1.0,1.0,1.0,1.0,1.77,1.88,1.0,1.0,1.0,1.0,1.77,1.88,3.0,3.0,2.0,0.0,2.75,0.39000000000000007,3.0,3.0,2.0,0.0,2.75,0.39000000000000007,0.0,3.0,8.0,11.0,2.0,8.0,2.0,4.0,3.0,1.0,0.0,0.0
2024-08-23,Portugal,1,2025,Farense,Sp Lisbon,15.0,8.3,1.21,1.41,3.17,12.84,7.49,1.19,1.37,3.03,0.0,0.0,0.5,1.5,1.1600000000000001,2.6950000000000003,0.0,0.0,0.5,1.5,1.1600000000000001,2.6950000000000003,3.0,3.0,4.5,1.0,5.58,1.52,3.0,3.0,4.5,1.0,5.58,1.52,0.0,5.0,4.0,28.0,1.0,8.0,1.0,5.0,4.0,1.0,0.0,0.0
2024-08-24,Portugal,1,2025,Benfica,Estrela,1.21,8.1,17.0,1.54,2.66,1.18,7.23,14.79,1.49,2.54,1.5,1.5,1.5,1.0,2.1750000000000003,1.47,1.5,1.5,1.5,1.0,2.1750000000000003,1.47,0.5,0.5,0.5,2.0,1.09,2.965,0.5,0.5,0.5,2.0,1.09,2.965,1.0,0.0,16.0,5.0,9.0,0.0,12.0,2.0,4.0,3.0,0.0,0.0
2024-08-24,Portugal,1,2025,Casa Pia,Santa Clara,2.83,3.36,2.7,2.13,1.8,2.74,3.26,2.58,2.05,1.76,0.0,0.0,0.0,2.0,0.4,2.6300000000000003,0.0,0.0,0.0,2.0,0.4,2.6300000000000003,1.5,1.5,2.0,1.5,3.2500000000000004,2.22,1.5,1.5,2.0,1.5,3.2500000000000004,2.22,0.0,2.0,10.0,7.0,3.0,4.0,7.0,1.0,4.0,4.0,1.0,0.0
2024-08-24,Portugal,1,2025,Famalicao,Boavista,1.6,4.02,6.5,2.06,1.86,1.56,3.94,5.96,2.0,1.81,3.0,3.0,2.5,0.0,3.4,0.4,3.0,3.0,2.5,0.0,3.4,0.4,1.5,1.5,0.5,0.5,0.8,1.05,1.5,1.5,0.5,0.5,0.8,1.05,1.0,0.0,10.0,5.0,4.0,2.0,7.0,3.0,1.0,3.0,0.0,0.0
2024-08-24,Portugal,1,2025,Porto,Rio Ave,1.27,6.5,14.0,1.77,2.19,1.23,6.01,12.26,1.72,2.11,3.0,3.0,2.5,0.0,3.3950000000000005,1.385,3.0,3.0,2.5,0.0,3.3950000000000005,1.385,1.5,1.5,1.0,1.5,1.33,2.2750000000000004,1.5,1.5,1.0,1.5,1.33,2.2750000000000004,2.0,0.0,23.0,0.0,12.0,0.0,9.0,3.0,0.0,2.0,0.0,1.0
2024-08-25,Portugal,1,2025,AVS,Guimaraes,4.2,3.64,2.0,1.99,1.94,3.84,3.48,1.93,1.92,1.87,0.5,0.5,1.5,2.5,2.64,3.05,0.5,0.5,1.5,2.5,2.64,3.05,3.0,2.0,1.0,0.0,1.7100000000000002,0.805,3.0,2.0,1.0,0.0,1.7100000000000002,0.805,1.0,0.0,9.0,13.0,2.0,5.0,3.0,6.0,3.0,3.0,0.0,0.0
2024-08-25,Portugal,1,2025,Arouca,Nacional,2.14,3.56,3.6,1.95,1.97,2.07,3.45,3.46,1.89,1.91,0.0,0.5,0.5,2.0,1.4600000000000002,2.735,0.0,0.5,0.5,2.0,1.4600000000000002,2.735,0.5,0.5,1.0,3.5,1.56,4.365,0.5,0.5,1.0,3.5,1.56,4.365,1.0,0.0,10.0,11.0,4.0,1.0,9.0,2.0,2.0,6.0,0.0,0.0
