date,league,division,year,home_team,away_team,odds__market_maximum__home_win__full_time_goals,odds__market_maximum__draw__full_time_goals,odds__market_maximum__away_win__full_time_goals,odds__market_maximum__over_2.5__full_time_goals,odds__market_maximum__under_2.5__full_time_goals,odds__market_average__home_win__full_time_goals,odds__market_average__draw__full_time_goals,odds__market_average__away_win__full_time_goals,odds__market_average__over_2.5__full_time_goals,odds__market_average__under_2.5__full_time_goals,home__points__avg,home__adj_points__avg,home__goals_for__avg,home__goals_against__avg,home__adj_goals_for__avg,home__adj_goals_against__avg,home__points__latest_avg,home__adj_points__latest_avg,home__goals_for__latest_avg,home__goals_against__latest_avg,home__adj_goals_for__latest_avg,home__adj_goals_against__latest_avg,away__points__avg,away__adj_points__avg,away__goals_for__avg,away__goals_against__avg,away__adj_goals_for__avg,away__adj_goals_against__avg,away__points__latest_avg,away__adj_points__latest_avg,away__goals_for__latest_avg,away__goals_against__latest_avg,away__adj_goals_for__latest_avg,away__adj_goals_against__latest_avg,target__home_team__full_time_goals,target__away_team__full_time_goals,target__home_team__shots,target__away_team__shots,target__home_team__shots_on_target,target__away_team__shots_on_target,target__home_team__corners,target__away_team__corners,target__home_team__yellow_cards,target__away_team__yellow_cards,target__home_team__red_cards,target__away_team__red_cards
2012-01-09,Scotland,1,2013,Aberdeen,St Mirren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.0,3.0,3.0,1.0,9.0,3.0,0.0,3.0,0.0,0.0
2012-01-09,Scotland,1,2013,Celtic,Hibernian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,14.0,4.0,6.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0
2012-01-09,Scotland,1,2013,Ross County,Kilmarnock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10.0,10.0,5.0,5.0,8.0,5.0,5.0,2.0,0.0,0.0
2012-01-09,Scotland,1,2013,St Johnstone,Dundee United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.0,6.0,2.0,2.0,6.0,6.0,0.0,2.0,0.0,0.0
2012-02-09,Scotland,1,2013,Hearts,Dundee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8.0,3.0,3.0,2.0,9.0,1.0,2.0,3.0,0.0,0.0
2012-02-09,Scotland,1,2013,Motherwell,Inverness C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,11.0,14.0,6.0,9.0,10.0,10.0,1.0,1.0,0.0,0.0
2012-03-11,Scotland,1,2013,Dundee,Hearts,,,,,,,,,,,3.0,3.0,1.0,0.0,1.4,0.55,3.0,3.0,1.0,0.0,1.4,0.55,0.0,0.0,0.0,1.0,0.55,1.4,0.0,0.0,0.0,1.0,0.55,1.4,1.0,0.0,4.0,5.0,3.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0
2012-03-11,Scotland,1,2013,Hibernian,St Mirren,,,,,,,,,,,1.0,0.0,2.0,2.0,2.25,2.83,1.0,0.0,2.0,2.0,2.25,2.83,1.0,1.0,0.0,0.0,0.30000000000000004,0.44999999999999996,1.0,1.0,0.0,0.0,0.30000000000000004,0.44999999999999996,2.0,1.0,10.0,7.0,4.0,5.0,1.0,7.0,1.0,3.0,0.0,1.0
2012-03-11,Scotland,1,2013,Kilmarnock,Inverness C,,,,,,,,,,,1.0,1.0,0.0,0.0,0.75,0.9299999999999999,1.0,1.0,0.0,0.0,0.75,0.9299999999999999,0.0,0.0,1.0,4.0,2.2300000000000004,4.869999999999999,0.0,0.0,1.0,4.0,2.2300000000000004,4.869999999999999,1.0,2.0,12.0,12.0,7.0,7.0,5.0,12.0,1.0,3.0,1.0,0.0
2012-03-11,Scotland,1,2013,Ross County,Aberdeen,,,,,,,,,,,1.0,1.0,0.0,0.0,0.9299999999999999,0.75,1.0,1.0,0.0,0.0,0.9299999999999999,0.75,1.0,1.0,0.0,0.0,0.44999999999999996,0.30000000000000004,1.0,1.0,0.0,0.0,0.44999999999999996,0.30000000000000004,2.0,1.0,5.0,10.0,2.0,4.0,1.0,6.0,4.0,1.0,0.0,0.0
2012-03-11,Scotland,1,2013,St Johnstone,Motherwell,,,,,,,,,,,1.0,1.0,0.0,0.0,0.30000000000000004,0.4,1.0,1.0,0.0,0.0,0.30000000000000004,0.4,3.0,3.0,4.0,1.0,4.869999999999999,2.2300000000000004,3.0,3.0,4.0,1.0,4.869999999999999,2.2300000000000004,1.0,3.0,9.0,9.0,5.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0
2012-04-08,Scotland,1,2013,St Mirren,Inverness C,,,,,,,,,,,0.5,2.0,0.5,1.0,1.56,1.4949999999999997,0.5,2.0,0.5,1.0,1.56,1.4949999999999997,1.5,0.5,1.5,2.5,2.67,3.9049999999999994,1.5,0.5,1.5,2.5,2.67,3.9049999999999994,2.0,2.0,13.0,11.0,5.0,7.0,4.0,10.0,3.0,4.0,1.0,0.0
2012-04-08,Scotland,1,2013,Ross County,Motherwell,,,,,,,,,,,2.0,2.0,1.0,0.5,1.69,1.1700000000000002,2.0,2.0,1.0,0.5,1.69,1.1700000000000002,3.0,3.0,3.5,1.0,4.385,1.9700000000000002,3.0,3.0,3.5,1.0,4.385,1.9700000000000002,0.0,0.0,6.0,6.0,1.0,2.0,6.0,8.0,1.0,0.0,0.0,0.0
2012-04-08,Scotland,1,2013,Hearts,St Johnstone,,,,,,,,,,,0.0,0.0,0.0,1.0,0.49,1.425,0.0,0.0,0.0,1.0,0.49,1.425,0.5,0.5,0.5,1.5,1.0050000000000001,2.15,0.5,0.5,0.5,1.5,1.0050000000000001,2.15,2.0,0.0,18.0,5.0,7.0,3.0,6.0,6.0,2.0,1.0,0.0,1.0
2012-04-08,Scotland,1,2013,Celtic,Aberdeen,,,,,,,,,,,1.0,3.0,2.0,2.0,2.83,2.25,1.0,3.0,2.0,2.0,2.83,2.25,0.5,0.5,0.5,1.0,1.02,1.375,0.5,0.5,0.5,1.0,1.02,1.375,1.0,0.0,9.0,5.0,5.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0
2012-04-08,Scotland,1,2013,Kilmarnock,Dundee,,,,,,,,,,,0.5,1.0,0.5,1.0,1.845,2.02,0.5,1.0,0.5,1.0,1.845,2.02,3.0,3.0,1.0,0.0,1.425,0.49,3.0,3.0,1.0,0.0,1.425,0.49,0.0,0.0,16.0,4.0,8.0,1.0,6.0,1.0,0.0,2.0,0.0,0.0
2012-04-11,Scotland,1,2013,Dundee United,Celtic,,,,,,,,,,,1.0,1.0,0.0,0.0,0.4,0.30000000000000004,1.0,1.0,0.0,0.0,0.4,0.30000000000000004,2.0,3.0,1.5,1.0,2.245,1.29,2.0,3.0,1.5,1.0,2.245,1.29,2.0,2.0,3.0,7.0,2.0,3.0,6.0,14.0,0.0,4.0,0.0,0.0
2012-05-08,Scotland,1,2013,Dundee United,Hibernian,,,,,,,,,,,1.0,0.5,1.0,1.0,1.35,1.5,1.0,0.5,1.0,1.0,1.35,1.5,2.0,0.0,2.0,1.5,2.3949999999999996,2.825,2.0,0.0,2.0,1.5,2.3949999999999996,2.825,3.0,0.0,17.0,6.0,11.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0
2012-05-10,Scotland,1,2013,Inverness C,Ross County,,,,,,,,,,,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335,2.8266666666666667,3.8666666666666667,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.3333333333333335,2.8266666666666667,3.8666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.2033333333333334,0.8866666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.2033333333333334,0.8866666666666667,3.0,1.0,9.0,11.0,6.0,6.0,3.0,5.0,4.0,3.0,0.0,0.0
